 ,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Black queen cell virus isolate Am19 RNA-dependent RNA polymerase (RdRp) gene, partial cds",Black queen cell virus,534,534,99%,9E-147,89.03,736,Erro:501
"Black queen cell virus isolate BQCV-IT1, complete genome",Black queen cell virus,532,532,99%,3E-146,90.05,8458,Erro:501
"Black queen cell virus isolate BQCV/144I, complete genome",Black queen cell virus,527,527,99%,4E-145,89.80,8464,Erro:501
"Black queen cell virus isolate BQCV_No8_AM-JS-2017-3-1, complete genome",Black queen cell virus,527,527,99%,4E-145,89.80,8450,Erro:501
"Black queen cell virus isolate Ea14 RNA-dependent RNA polymerase (RdRp) gene, partial cds",Black queen cell virus,526,526,99%,1E-144,89.54,742,Erro:501
"Black queen cell virus isolate BQCV_No17_Am059-TJ2019, complete genome",Black queen cell virus,523,523,99%,2E-143,89.54,8457,Erro:501
"Black queen cell virus isolate BQCV_No14_Am046-NMG2019, complete genome",Black queen cell virus,523,523,99%,2E-143,89.54,8458,Erro:501
"Black queen cell virus isolate BQCV_No9_Am007-BJ2019, complete genome",Black queen cell virus,523,523,99%,2E-143,89.54,8450,Erro:501
"Black queen cell virus isolate LN1, complete genome",Black queen cell virus,523,523,99%,2E-143,89.54,8440,Erro:501
"Black queen cell virus isolate Am8 RNA-dependent RNA polymerase (RdRp) gene, partial cds",Black queen cell virus,521,521,96%,6E-143,90.29,919,Erro:501
"Black queen cell virus isolate BQCV_No5_Acc019-SD2017, complete genome",Black queen cell virus,520,520,99%,6E-143,89.29,8454,Erro:501
"Black queen cell virus isolate BQCV_No15_Am049-SD2019, complete genome",Black queen cell virus,518,518,99%,2E-142,89.29,8455,Erro:501
"Black queen cell virus isolate BQCV_No10_Am024-HN2019, complete genome",Black queen cell virus,518,518,99%,2E-142,89.29,8456,Erro:501
"Black queen cell virus strain HUNGARY-10 non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,518,518,99%,2E-142,89.29,8335,Erro:501
"Black queen cell virus isolate BQCV_No7_AM-GD-2017-3, complete genome",Black queen cell virus,516,516,99%,2E-141,89.06,8450,Erro:501
"Black queen cell virus isolate BQCV_No4_Acc014-JL2016, complete genome",Black queen cell virus,516,516,99%,2E-141,89.06,8449,Erro:501
"Black queen cell virus isolate GS1, complete genome",Black queen cell virus,514,514,99%,9E-141,89.03,8440,Erro:501
"Black queen cell virus isolate JL1, complete genome",Black queen cell virus,514,514,99%,9E-141,89.03,8358,Erro:501
"Black queen cell virus isolate BQCV_No12_Am040-JS2019, complete genome",Black queen cell virus,514,514,99%,9E-141,89.03,8455,Erro:501
"Black queen cell virus isolate BQCV/Israel/2018 ORF1 gene, complete cds; and ORF2 gene, partial cds",Black queen cell virus,514,514,99%,9E-141,89.03,8462,Erro:501
"Black queen cell virus isolate BQCV_No16_Am056-SH2019, complete genome",Black queen cell virus,509,509,99%,1E-139,88.78,8458,Erro:501
"Black queen cell virus isolate BQCV_No13_Am043-LN2017, complete genome",Black queen cell virus,509,509,99%,1E-139,88.78,8453,Erro:501
"Black queen cell virus isolate BQCV_No11_Am035-JL2017, complete genome",Black queen cell virus,509,509,99%,1E-139,88.78,8452,Erro:501
"Black queen cell virus isolate BQCV_No6_AM-077-HN2017-3, complete genome",Black queen cell virus,505,505,99%,4E-138,88.52,8451,Erro:501
"Black queen cell virus isolate BQCV_No2_Acc005-FJ2019, complete genome",Black queen cell virus,505,505,99%,4E-138,88.52,8343,Erro:501
"Black queen cell virus isolate BQCV_No1_Acc003-BJ2019, complete genome",Black queen cell virus,505,505,99%,4E-138,88.52,8456,Erro:501
"Black queen cell virus isolate Et6 RNA-dependent RNA polymerase (RdRp) gene, partial cds",Black queen cell virus,500,500,99%,5E-137,88.27,1052,Erro:501
"Black queen cell virus isolate Am24 RNA-dependent RNA polymerase (RdRp) gene, partial cds",Black queen cell virus,500,500,99%,5E-137,88.27,984,Erro:501
"Black queen cell virus isolate Et12 RNA-dependent RNA polymerase (RdRp) gene, partial cds",Black queen cell virus,496,496,99%,2E-135,88.01,1156,Erro:501
"Black queen cell virus isolate Am9 RNA-dependent RNA polymerase (RdRp) gene, partial cds",Black queen cell virus,489,489,96%,1E-133,88.45,928,Erro:501
"Black queen cell virus isolate Ea20 RNA-dependent RNA polymerase (RdRp) gene, partial cds",Black queen cell virus,488,488,99%,3E-133,87.50,1153,Erro:501
"Black queen cell virus strain WA2 non-structural polyprotein gene, partial cds; and structural polyprotein gene, complete cds",Black queen cell virus,455,455,99%,2E-123,85.71,6878,Erro:501
"Black queen cell virus isolate Am26 RNA-dependent RNA polymerase (RdRp) gene, partial cds",Black queen cell virus,452,452,88%,2E-122,86.21,723,Erro:501
"Black queen cell virus strain NT non-structural polyprotein gene, partial cds; and structural polyprotein gene, complete cds",Black queen cell virus,451,451,99%,9E-122,85.46,5420,Erro:501
"Black queen cell virus strain VN1 non-structural polyprotein gene, partial cds; and structural polyprotein gene, complete cds",Black queen cell virus,451,451,99%,9E-122,85.46,6884,Erro:501
"Black queen cell virus strain VN3 non-structural polyprotein gene, partial cds; and structural polyprotein gene, complete cds",Black queen cell virus,451,451,99%,9E-122,85.46,6884,Erro:501
"Black queen cell virus nonstructural polyprotein (orf1) and structural polyprotein (orf2) genes, complete cds",Black queen cell virus,451,451,99%,9E-122,85.46,8550,Erro:501
"Black queen cell virus isolate FTA1-7, complete genome",Black queen cell virus,446,446,99%,1E-120,85.20,8436,Erro:501
"Black queen cell virus strain QLD non-structural polyprotein gene, partial cds; and structural polyprotein gene, complete cds",Black queen cell virus,446,446,99%,1E-120,85.20,6884,Erro:501
"Black queen cell virus strain POLAND-4 non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,446,446,99%,1E-120,85.20,8333,Erro:501
"Black queen cell virus strain SA non-structural polyprotein gene, partial cds; and structural polyprotein gene, complete cds",Black queen cell virus,442,442,99%,4E-119,84.95,6884,Erro:501
"Black queen cell virus strain WA1 non-structural polyprotein gene, partial cds; and structural polyprotein gene, complete cds",Black queen cell virus,442,442,99%,4E-119,84.95,6881,Erro:501
"Black queen cell virus strain POLAND-5 non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,442,442,99%,4E-119,84.95,8298,Erro:501
"Black queen cell virus strain BQCV_Sydney, complete genome",Black queen cell virus,441,441,99%,4E-119,84.69,8430,Erro:501
"Black queen cell virus isolate Sydney non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,437,437,99%,5E-118,84.69,8450,Erro:501
"Black queen cell virus strain TAS non-structural polyprotein gene, partial cds; and structural polyprotein gene, complete cds",Black queen cell virus,437,437,99%,5E-118,84.69,5471,Erro:501
"Black queen cell virus strain VN2 non-structural polyprotein gene, partial cds; and structural polyprotein gene, complete cds",Black queen cell virus,437,437,99%,5E-118,84.69,6884,Erro:501
"Black queen cell virus strain POLAND-6 non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,437,437,99%,5E-118,84.69,8302,Erro:501
"Black queen cell virus strain AY non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,433,433,99%,2E-116,84.44,8392,Erro:501
"Black queen cell virus isolate KM-1 non-structural polyprotein and structural polyprotein genes, complete cds",Black queen cell virus,406,406,99%,3E-108,82.91,8278,Erro:501
"Black queen cell virus strain TriniPa-Quinam-02 nonstructural polyprotein gene, partial cds",Black queen cell virus,291,291,45%,5E-74,95.58,208,Erro:501
"Black queen cell virus strain GI1 RNA-dependent RNA polymerase gene, partial cds",Black queen cell virus,156,156,25%,3E-33,94.06,891,Erro:501
"Myrmica scabrinodis virus 2, complete genome",Myrmica scabrinodis virus 2,70.7,70.7,21%,3E-07,77.91,10663,Erro:501
,,65.3,65.3,17%,1E-05,80.88,8925,Erro:501
"Anoplolepis gracilipes virus 1 putative non-structural polyprotein and putative structural polyprotein genes, complete cds",Anoplolepis gracilipes virus 1,62.6,62.6,18%,5E-05,78.38,10673,Erro:501
"Bat dicistrovirus strain Mm/2010 non-structural polyprotein and structural polyprotein genes, complete cds",Bat dicistrovirus,61.7,61.7,19%,"0,0002",78.21,9262,Erro:501
,,59.9,59.9,19%,"0,0005",78.48,9299,Erro:501
"Bat faecal associated dicistrovirus 3 isolate G02/aus/1, partial genome",Bat faecal associated dicistrovirus 3,59.0,59.0,8%,"0,0005",100.00,2667,Erro:501
,,58.1,58.1,16%,2,80.30,9325,Erro:501
"Wuhan arthropod virus 2 strain Nigeria_2017 NSP gene, complete cds; and CRPV capsid superfamily gene, partial cds",Wuhan arthropod virus 2,58.1,58.1,11%,2,88.64,7911,Erro:501
"Anoplolepis gracilipes virus 2 putative non-structural polyprotein and putative structural polyprotein genes, complete cds",Anoplolepis gracilipes virus 2,58.1,58.1,21%,2,75.00,8247,Erro:501
"Diversinervus elegans virus, complete genome",Diversinervus elegans virus,57.2,57.2,11%,2,86.96,8845,Erro:501
,,55.4,55.4,19%,7,77.22,9079,Erro:501
,,,,,,,,
,,,,,,,,
,,,,,,,,x
